Old URL,Old Page Title (as captured),Action,Rationale,Target new route/anchor (SPA — anchors until dedicated routes exist),Priority,Notes
"https://www.keyholesurgeon.co.uk/laparoscopic-liver-resection-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Laparoscopic Liver Resection",REDIRECT,"Dedicated treatment page",/#treatments (dedicated /treatments/liver-resection route recommended),Medium,"Matches rebuild's treatmentsIndex.ts 'Liver and Spleen Surgery' entry; correct the flagged transplantation line before publishing"
"https://www.keyholesurgeon.co.uk/splenectomy-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Splenectomy",REDIRECT,"Dedicated treatment page",/#treatments (dedicated /treatments/splenectomy route recommended),Medium,"Matches rebuild's treatmentsIndex.ts 'Liver and Spleen Surgery' entry"
"https://www.keyholesurgeon.co.uk/laparoscopic-cholecystectomy-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Laparoscopic Cholecystectomy",REDIRECT,"Dedicated treatment page, strongest/most complete legacy content of the 10",/#treatments (dedicated /treatments/gallbladder-surgery route recommended),High,"High commercial-intent keyword (gallbladder surgery); matches rebuild's 'laparoscopic-cholecystectomy' procedure entry"
"https://www.keyholesurgeon.co.uk/laparoscopic-hernia-repair-tep-and-tapp-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Laparoscopic Hernia Repair Hertfordshire | TAPP Repair| TEP Repair London UK",REDIRECT,"Dedicated treatment page with an existing optimised title tag worth preserving keyword-wise",/#treatments (dedicated /treatments/hernia-repair route recommended),High,"Matches rebuild's 'inguinal-hernia-repair' procedure entry"
"https://www.keyholesurgeon.co.uk/incisional-hernia-repair-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Incisional Hernia Repair",REDIRECT,"Dedicated treatment page, most detailed legacy content found",/#treatments (dedicated /treatments/incisional-hernia route recommended),Medium,"Matches rebuild's 'complex-incisional-ventral-hernia' entry; reconcile with the separate condition-explainer page of a similar name (see treatment-content-map.md)"
"https://www.keyholesurgeon.co.uk/appendectomy-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Appendectomy",REDIRECT,"Dedicated treatment page",/#treatments (dedicated /treatments/appendicectomy route recommended),Medium,"Matches rebuild's 'emergency-general-surgery' entry"
"https://www.keyholesurgeon.co.uk/patient-reviews-testimonials-f14143/","Patient Reviews | Upper GI Specialist London | General Surgeon Hertfordshire",REDIRECT,"Anomalous URL slug ('f14143') but real SEO equity for 'reviews'/'testimonials' search intent; content itself needs consent review before republishing",Dedicated testimonials section/route once TestimonialWall.tsx content is verified,Medium,"Do not redirect this distinctively-slugged URL to the homepage — preserve it explicitly since its non-standard slug makes it easy to lose track of"
"https://www.keyholesurgeon.co.uk/research-and-publications-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Research & Publications | Prof. Sheth | Upper GI Specialist in Harrow UK",REDIRECT,"Real, valuable, mostly-checkable content (20 publications); currently has zero equivalent in the rebuild",Dedicated Research/Publications section/route (to be created),Medium,"High content value — see publication-register.md"
"https://www.keyholesurgeon.co.uk/media-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Media",INVESTIGATE,"Thin hub page; sub-sections (Healthcare News, In the News) not yet crawled",TBD,Low,"Resolve after investigating sub-sections"
"https://www.keyholesurgeon.co.uk/disclaimer/","Disclaimer | Prof. Hemant Sheth...",REDIRECT,"Legal page with real substantive content that must be carried forward in updated form",/disclaimer (new site should keep a dedicated legal route, not an anchor),High,"REWRITE for currency; do not let this URL 404 given its legal function"
"https://www.keyholesurgeon.co.uk/privacy/","Privacy | Prof. Hemant Sheth...",REDIRECT,"Legal page; existing content is NOT UK-GDPR-compliant and must be rewritten, but the URL itself should be preserved/redirected, not retired",/privacy (dedicated route),High,"DO NOT MIGRATE existing wording verbatim — commission a compliant replacement, but keep the URL live"
"https://www.keyholesurgeon.co.uk/sitemap/","Sitemap",KEEP (concept),"New site should publish its own current sitemap.xml rather than migrating the old HTML sitemap page 1:1",/sitemap.xml (technical) + optional human-readable /sitemap page,Low,"Low SEO value as a standalone indexed HTML page; primarily useful as a technical sitemap.xml"
"https://www.keyholesurgeon.co.uk/feedback-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Feedback | Prof. Hemant Sheth...",MERGE,"Low individual traffic value; merge into a general contact mechanism",/#clinics or a general contact form,Low,"Low priority"
"https://www.keyholesurgeon.co.uk/tell-a-friend/","Tell A Friend | Prof. Hemant Sheth...",RETIRE,"Dated 2000s-era web pattern with negligible modern value; native share functionality supersedes it",N/A,Low,"Do not migrate this UX pattern; a 301 to homepage is acceptable here specifically since there is no meaningful content or search intent to preserve"
"https://cpoc.org.uk/","Centre for Perioperative Care (external)",KEEP,"External resource link found via legacy sitemap; verify still relevant/active",External link, no internal redirect needed,Low,"Not a site-owned URL — just confirm it's still an appropriate resource to link to"
"[26 further condition-explainer URLs discovered via the 2 conditions directories — see treatment-content-map.md for the full list]",,INVESTIGATE,"Not individually crawled in this pass; cannot assign a redirect target without knowing their content first",TBD,High,"This is the single largest open item in the SEO migration plan — up to 26 additional indexed URLs may exist that this audit has not yet evaluated. Recommend a dedicated follow-up crawl before finalising any blanket redirect rules."
