URL,Page Title,Meta Description,H1,Page Type,Main Topic,Treatments Mentioned,Locations Mentioned,Professional Facts,Contact Information,Images,Video,Testimonials,Publications,FAQs,Downloadable Files,Internal Links (approx count),Canonical URL,Indexability,Word Count (approx),Last Updated Evidence,Clinical Content Status,Recommended Migration Action
"https://www.keyholesurgeon.co.uk/","Prof. Hemant Sheth | Laparoscopic Surgeon London | Anti Reflux Surgery Hertfordshire","not captured","Advanced Technology, Patient-Centered Care","Homepage","Practice overview / homepage hub","Anti-reflux surgery; laparoscopic cholecystectomy; hernia repair; UGI endoscopy (general list, no detail)","Spire Bushey; Clementine Churchill; Wellington Elstree Waterfront (Syon Clinic NOT mentioned)","Title 'Prof. Hemant Sheth'; qualifications 'MBBS, MS, FRCS, MD (RES)'; tagline 'Consultant General & Laparoscopic Surgeon'; 'Specialist in Upper GI & HPB Surgery'; no GMC number stated on homepage itself","Secretary Nehali Christian named in site-wide content; phone numbers not visible in homepage extract","Profile photo, institutional logos (not itemised)","1 (Q__rvX_EEGQ, Ealing Hospital robotic surgery national record)","3 named (Charles Clarke, Deepa Pathare, Devendarsingh Banker)","Not listed on homepage; see Research page","None found","None found","20+ (nav + footer)","not captured","unknown (indexable per robots meta on subpages; homepage not separately checked)","not captured (not fetched in this pass; prior extraction only)","not found on page","REWRITE REQUIRED (promotional tone; needs stat verification)","REWRITE / MERGE into new homepage hero+overview, verify every stat before reuse"
"https://www.keyholesurgeon.co.uk/dr-hemant-sheth-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Prof. Hemant Sheth | General Surgeon Hertfordshire | HPB Surgery Harrow","not found on page","Prof. Hemant Sheth","About/Bio","Full professional biography","Anti-reflux (fundoplication); diaphragmatic hernia; lap. cholecystectomy + CBD exploration; UGI endoscopy; inguinal/epigastric/umbilical/ventral/incisional hernia; splenectomy; liver resection; liver cyst surgery","Spire Bushey (WD23 1RD); Clementine Churchill (HA1 3RX); Wellington Elstree Waterfront (WD6 3BS); NHS base Ealing/London Northwest Trust (Uxbridge Road, Southall UB1 3HW)","Title 'Prof. Hemant Sheth' throughout; GMC '4567912' (labelled 'GMC registration'); qualifications: Clinical Professor (2023); FRCS(Eng) 2009; MD(Res) UCL 2010; FRCS(Glasgow) 1996; MS Mumbai 1994; MBBS Mumbai 1990; memberships RCS Eng, ASGBI, BMA, AUGIS, EAHPBA, IHPBA; Surgical Tutor RCS England (2012); languages Gujarati/Hindi/Marathi/Konkani; awards 'clinical excellence awards'","Online booking link only; no phone/email visible in this page's own body","Logo; profile photo alt-text 'Dr Hemant Sheth' (inconsistent with 'Prof.' body copy); certificate image; YPO platform logo","None found on this page","None on this page (see Testimonials page)","MS thesis 'Splenectomy for haematological disorders' (1994); MD thesis 'Therapeutic Modulation of Liver Ischaemia Reperfusion Injury' (UCL); partial 16-item summary of the fuller 20-item Research page list","None found","None found","8 internal + 4 social","not captured","unknown","~2800-3000","not found on page","CLINICAL REVIEW REQUIRED (GMC number, Professor title, awards wording)","KEEP as source for new About page content, REWRITE for tone/British English, CLINICAL REVIEW REQUIRED before publishing GMC number or Professor title"
"https://www.keyholesurgeon.co.uk/laparoscopic-cholecystectomy-general-laparoscopic-surgeon-hertfordshire-harrow-london/","not captured","not captured","Laparoscopic Cholecystectomy","Treatment page","Gallbladder removal","Laparoscopic Cholecystectomy","Clementine Churchill; NHS Royal Free London; NHS London North West; UCL","Byline tagline only","None on page","Images with alt text; YouTube channel link, no specific embed","None found","None","None","None found","None found","20+","not captured","unknown","~1300-1400 (most detailed)","not found on page","REWRITE REQUIRED (templated vendor copy, otherwise complete)","KEEP as strongest base text, REWRITE into plain British English, CLINICAL REVIEW REQUIRED"
"https://www.keyholesurgeon.co.uk/laparoscopic-hernia-repair-tep-and-tapp-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Laparoscopic Hernia Repair Hertfordshire | TAPP Repair| TEP Repair London UK","not captured","Laparoscopic Hernia Repair TEP and TAPP","Treatment page","TAPP vs TEP laparoscopic hernia repair","Laparoscopic Hernia Repair (TEP/TAPP)","Clementine Churchill; NHS Royal Free London; NHS London North West","Byline tagline only","None on page","Alt-text images; YouTube channel link, no embed","None found","None","None","None found","None found","20+","not captured","unknown","~550","not found on page","REWRITE REQUIRED (no recovery detail; only generic Patient Resources link)","KEEP as base, REWRITE and EXPAND recovery section, CLINICAL REVIEW REQUIRED"
"https://www.keyholesurgeon.co.uk/incisional-hernia-repair-general-laparoscopic-surgeon-hertfordshire-harrow-london/","not captured","not captured","Incisional Hernia Repair","Treatment page","Incisional hernia repair (open + laparoscopic)","Incisional Hernia Repair","Clementine Churchill; NHS Royal Free London; NHS London North West","Byline tagline only","None on page","Logo, profile, social icons","None found","None","None","None found","None found","20+ + social","not captured","unknown","~1800-2000 (most detailed page found)","not found on page","CLINICAL REVIEW REQUIRED (recovery text appears to be inguinal-hernia boilerplate mismatched to this page)","KEEP as base, REWRITE, CLINICAL REVIEW REQUIRED - flag groin/thigh recovery text as probable template mismatch"
"https://www.keyholesurgeon.co.uk/appendectomy-general-laparoscopic-surgeon-hertfordshire-harrow-london/","not captured","not captured","Appendectomy","Treatment page","Appendix removal (open + laparoscopic) for appendicitis","Appendectomy","Clementine Churchill; NHS Royal Free London; NHS London North West","Not mentioned as robotic-relevant on this page","None on page","Placeholder images","None found","None","None","None found","None found","4 (short nav set)","not captured","unknown","~1100","not found on page","REWRITE REQUIRED (templated vendor copy)","KEEP as base, REWRITE, CLINICAL REVIEW REQUIRED"
"https://www.keyholesurgeon.co.uk/patient-education-videos-general-laparoscopic-surgeon-hertfordshire-harrow-london/","not captured","not captured","Patient Education Videos","Video hub page","Video library entry point (content not renderable via text fetch)","N/A","N/A","N/A","None on page","None resolved by fetch tool (JS-rendered library suspected)","Suspected but not captured - needs browser re-check","None","None","None found","None found","14+","not captured","unknown","~250 (mostly boilerplate)","not found on page","INVESTIGATE (content likely exists but undiscovered)","INVESTIGATE with browser-rendering tool before deciding migration action"
"https://www.keyholesurgeon.co.uk/conditions-gastroenterology-gastrointestinal-general-laparoscopic-surgeon-hertfordshire-harrow-london/","not captured","not captured","Gastroenterology Conditions","Conditions directory","Directory of 16 GI condition pages","16 conditions listed (see gap doc); none individually crawled","None on this page","None","Placeholder card images","None found","None","None","None found","None found","20+","not captured","unknown","~800","not found on page","INVESTIGATE (16 linked condition pages not yet crawled)","MERGE concept into new condition-explainer content; INVESTIGATE the 16 linked pages before final SEO map"
"https://www.keyholesurgeon.co.uk/general-conditions-laparoscopic-surgeon-hertfordshire-harrow-london/","General Surgery Conditions","not captured","General Surgery Conditions","Conditions directory","Directory of 10 general-surgery condition pages","10 conditions listed (see gap doc); none individually crawled","None on this page","None","Placeholder card images (mostly no alt text)","None found","None","None","None found","None found","15+","not captured","unknown","~400","not found on page","INVESTIGATE (10 linked condition pages not yet crawled; possible duplicate of Incisional Hernia Repair treatment page)","INVESTIGATE the 10 linked pages; RECONCILE possible duplicate 'Incisional Hernia' condition page vs treatment page"
"https://www.keyholesurgeon.co.uk/patient-forms-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Patient Forms | Prof. Hemant Sheth | Upper GI Specialist London UK","not captured","Patient Forms","Patient resource hub (placeholder)","Intended to host downloadable forms - currently empty","N/A","N/A","None","None itemised","None","None","None","None","NONE - page displays 'Coming Soon', no forms exist","7+","not captured","unknown","~150","not found on page","OUTDATED (placeholder/empty)","RETIRE the placeholder; new site must create genuinely new patient-forms content"
"https://www.keyholesurgeon.co.uk/first-visit-guide-general-laparoscopic-surgeon-hertfordshire-harrow-london/","First Visit | Prof. Hemant Sheth | General Surgeon Hertfordshire","not captured","First Visit Guide","Patient information","What to bring / cancellation policy for first consultation","N/A","N/A","None","None direct; social links only","None","None","None","None","None found","3+ (via nav)","not captured","unknown","~250","not found on page","VERIFIED (generic, low-risk guidance)","KEEP - migrate into new Patient Journey / First Visit content, REWRITE for tone"
"https://www.keyholesurgeon.co.uk/post-op-instructions-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Post op Instruction | Upper GI Specialist London | Laparoscopic Surgeon London UK","not captured","Post-Op Instructions","Clinical guidance","General post-operative care + warning signs across surgery types","N/A (generic across all procedures)","N/A","Byline tagline only","None direct","None","None","None","None","None found","15+","not captured","unknown","~300-350","not found on page","CLINICAL REVIEW REQUIRED (AI-paraphrased, needs verbatim re-capture + clinician sign-off)","KEEP as base, CLINICAL REVIEW REQUIRED before republishing any warning-sign thresholds (e.g. fever >101F)"
"https://www.keyholesurgeon.co.uk/insurance-info-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Insurance Info | Upper GI Specialist London | Laparoscopic Surgeon London UK","not captured","Insurance Info","Patient information (placeholder)","Intended to list accepted insurers - currently empty","N/A","N/A","None","Online booking link only; social links","None","None","None","None","None found","13+","not captured","unknown","~250 (mostly nav)","not found on page","OUTDATED (placeholder/empty)","RETIRE the placeholder; new site's insurer list (Bupa/AXA/Aviva/Vitality/WPA/Cigna/Allianz/Healix) is ONLY sourced from the rebuild itself and needs client confirmation, not legacy site"
"https://www.keyholesurgeon.co.uk/useful-links-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Useful Links | Upper GI Specialist | Keyhole Surgery London UK","not captured","Useful Links","Resource page","Curated external links (hospitals, professional bodies, CMS vendor)","N/A","Links to Circle Health Group, Royal Free NHS, UCL, London North West NHS Trust, RCS England, ASGBI, Your Practice Online (CMS vendor)","None","None direct","None","None","None","None","None found","7 external + nav","not captured","unknown","~200-250","not found on page","VERIFIED (external links checkable)","KEEP - migrate as a resources/affiliations section, verify each link still resolves"
"https://www.keyholesurgeon.co.uk/general-appointment-laparoscopic-surgeon-hertfordshire-harrow-london/","General Appointment | Prof. Hemant Sheth | Consultant Laparoscopic Surgeon Harrow UK","not captured","General Appointment","Appointment/booking page","Booking process, what to bring, cancellation policy","N/A","Spire Bushey; Clementine Churchill; Wellington Elstree Waterfront (3 locations, addresses given)","None additional","Secretary 'Nehali Christian'; email JS-obfuscated/not resolved","None itemised","None","None","None","None found","25+","not captured","unknown","~450-500","not found on page","LEGACY - NEEDS CONFIRMATION (email unresolved, form fields unresolved)","KEEP as base for new Appointment route content, CONFIRM email/phone via browser check"
"https://www.keyholesurgeon.co.uk/disclaimer/","Disclaimer | Prof. Hemant Sheth | Consultant General Surgeon London UK","not captured","Disclaimer","Legal/compliance","Medical-info-is-educational-only disclaimer; external-link disclaimer; testimonial usage-rights waiver","N/A","N/A","None","Email JS-obfuscated/not resolved","None","None","None (references testimonial usage rights)","None","None found","10+","not captured","unknown","~500","not found on page","LEGACY - NEEDS CONFIRMATION (AI-paraphrased, needs verbatim re-capture)","KEEP concepts, RE-CAPTURE exact wording via direct HTML source before legal sign-off, carry forward into new site's legal pages"
"https://www.keyholesurgeon.co.uk/privacy/","Privacy | Prof. Hemant Sheth | Laparoscopic Surgery Harrow | London UK","not captured","Privacy","Legal/compliance","Privacy policy: data controller, Google Analytics, reCAPTCHA, SMS, cookie opt-out","N/A","N/A","Data controller = 'Prof. Hemant Sheth, Consultant General, Laparoscopic, Upper GI & HPB Surgeon...'","Webmaster contact, email JS-obfuscated/not resolved","None","None","None","None","None found","25+","not captured","unknown","~550","not found on page","OUTDATED (not UK-GDPR-compliant: missing lawful basis, data-subject-rights, retention periods, DPO contact)","DO NOT MIGRATE as-is; REWRITE as a proper UK GDPR-compliant privacy policy for the new site"
"https://www.keyholesurgeon.co.uk/sitemap/","not captured (link listing)","not captured","Sitemap","Sitemap/index","Full site link index","N/A","N/A","N/A","N/A","None","None","None","None","None found","30+ (full site link index)","not captured","unknown","N/A (link listing)","not found on page","VERIFIED (used to cross-check URL completeness)","KEEP concept - new site should publish an updated sitemap.xml"
"https://www.keyholesurgeon.co.uk/feedback-general-laparoscopic-surgeon-hertfordshire-harrow-london/","Feedback | Prof. Hemant Sheth | Upper GI Specialist Hertfordshire, London UK","not captured","Website Feedback","Feedback form","General website feedback submission, routed to 'the webmaster'","N/A","N/A","None","Routed to 'the webmaster'; no direct email/phone resolved","None","None","None","None","None found","35+","not captured","unknown","~400","not found on page","VERIFIED (low-risk utility page)","KEEP concept if useful, LOW PRIORITY, MERGE into a general contact/feedback mechanism"
"https://www.keyholesurgeon.co.uk/tell-a-friend/","Tell A Friend | Prof. Hemant Sheth | Laparoscopic Surgeon London UK","not captured","Tell a Friend","Referral/sharing form","Lets visitors share the practice profile with a friend","N/A","N/A","None","None direct","None","None","None","None","None found","30+","not captured","unknown","~300-350","'© Prof. Hemant Sheth' with no year","LEGACY - NEEDS CONFIRMATION (low value, dated UX pattern)","DO NOT MIGRATE - this 'tell a friend' form pattern is dated 2000s-era web design with negligible modern value; rely on native share instead"
"https://cpoc.org.uk/ (Centre for Perioperative Care - external, discovered via sitemap Contact section)","not captured","not captured","not captured","External resource link","External perioperative-care organisation link","N/A","N/A","N/A","N/A","not captured","not captured","not captured","not captured","not captured","not captured","N/A (external)","not captured","unknown","not captured","not found on page","not captured","KEEP as an external reference link if still relevant; verify still active"
