source_file,source_index,source_group,pair_id,page_number,page_role,orientation,rotation_required,content_type,testimonial_type,staff_recognition,duplicate_group,public_candidate,publication_status,consent_status,exclusion_reason,original_asset,normalised_asset,notes
fwpatientfeedbackbatch4\PP thank you card 2022 clem.pdf,11,Private patient feedback,feedback-001-duplicate,2,duplicate,upright,none,duplicate scan,patient,no,duplicate-of-feedback-card-002,no,pending,pending,Duplicate scan,/patient-feedback/feedback-card-011.jpg,,Visual duplicate of retained message page
fwpatientfeedbackbatch5\NHS patient thank you card 1.pdf,12,NHS patient feedback,feedback-013,1,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-012.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch5\NHS patient thank you card 1.pdf,13,NHS patient feedback,feedback-013,2,message,rotate-90-counterclockwise,rotate-90-counterclockwise,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-013.jpg,/patient-feedback-clean/feedback-card-013.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch5\NHS patient Thank you card 2.pdf,14,NHS patient feedback,feedback-015,1,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-014.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch5\NHS patient Thank you card 2.pdf,15,NHS patient feedback,feedback-015,2,message,rotate-90-counterclockwise,rotate-90-counterclockwise,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-015.jpg,/patient-feedback-clean/feedback-card-015.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch5\NHS patient Thank you card 23.pdf,16,NHS patient feedback,feedback-016,1,duplicate,rotate-90-counterclockwise,rotate-90-counterclockwise,duplicate scan,patient,no,duplicate-of-feedback-card-008,no,pending,pending,Duplicate scan,/patient-feedback/feedback-card-016.jpg,,Visual duplicate of retained message page
fwpatientfeedbackbatch5\NHS patient Thank you card 23.pdf,17,NHS patient feedback,feedback-016,2,duplicate,rotate-90-counterclockwise,rotate-90-counterclockwise,duplicate scan,patient,no,duplicate-of-feedback-card-009,no,pending,pending,Duplicate scan,/patient-feedback/feedback-card-017.jpg,,Visual duplicate of retained message page
fwpatientfeedbackbatch5\NHS patient thank you card 3.pdf,18,NHS patient feedback,feedback-019,1,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-018.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch5\NHS patient thank you card 3.pdf,19,NHS patient feedback,feedback-019,2,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-019.jpg,/patient-feedback-clean/feedback-card-019.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch5\Patient thank you card.pdf,20,Patient thank-you cards,feedback-020,1,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-020.jpg,/patient-feedback-clean/feedback-card-020.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch5\Patient thank you card_1.pdf,21,Patient thank-you cards,feedback-020-duplicate,1,duplicate,upright,none,duplicate scan,patient,no,duplicate-of-feedback-card-020,no,pending,pending,Duplicate scan,/patient-feedback/feedback-card-021.jpg,,Exact duplicate scan
fwpatientfeedbackbatch5\Pvt Patient Thank you card 23.pdf,22,Private patient feedback,feedback-022,1,message,rotate-90-counterclockwise,rotate-90-counterclockwise,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-022.jpg,/patient-feedback-clean/feedback-card-022.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch5\Pvt Patient Thank you card 23.pdf,23,Private patient feedback,feedback-022,2,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-023.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch5\Pvt patient thank you card 3.pdf,24,Private patient feedback,feedback-001-duplicate-2,1,duplicate,upright,none,duplicate scan,patient,no,duplicate-of-feedback-card-002,no,pending,pending,Duplicate scan,/patient-feedback/feedback-card-024.jpg,,Visual duplicate of retained message page
fwpatientfeedbackbatch5\Pvt patient thank you card 3.pdf,25,Private patient feedback,feedback-001-duplicate-2,2,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-025.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch5\PVT Patient thank you card.pdf,26,Private patient feedback,feedback-026,1,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-026.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch5\PVT Patient thank you card.pdf,27,Private patient feedback,feedback-026,2,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-027.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch6\Dept Of surgery Xmas card 2024.pdf,28,Colleague and trainee feedback,feedback-028,1,staff-recognition,upright,none,colleague or trainee feedback,colleague-trainee,no,,no,pending,pending,Colleague/trainee feedback excluded from patient testimonials,/patient-feedback/feedback-card-028.jpg,,Non-patient recognition content retained in the source archive.
fwpatientfeedbackbatch6\Dept Of surgery Xmas card 2024.pdf,29,Colleague and trainee feedback,feedback-029,2,staff-recognition,upright,none,colleague or trainee feedback,colleague-trainee,no,,no,pending,pending,Colleague/trainee feedback excluded from patient testimonials,/patient-feedback/feedback-card-029.jpg,,Non-patient recognition content retained in the source archive.
fwpatientfeedbackbatch6\Digital HEART card by registrar 2024.jpg,30,Colleague and trainee feedback,feedback-030,1,staff-recognition,upright,none,colleague or trainee feedback,colleague-trainee,no,,no,pending,pending,Colleague/trainee feedback excluded from patient testimonials,/patient-feedback/feedback-card-030.jpg,,Non-patient recognition content retained in the source archive.
fwpatientfeedbackbatch6\MSF appraisal 2024 patients .pdf,31,Patient thank-you cards,feedback-031,1,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-031.jpg,/patient-feedback-clean/feedback-card-031.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch6\NHS patient feedback 2024.pdf,32,NHS patient feedback,feedback-032,1,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-032.jpg,/patient-feedback-clean/feedback-card-032.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch6\NHS patient Thank you card 1.pdf,33,NHS patient feedback,feedback-034,1,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-033.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch6\NHS patient Thank you card 1.pdf,34,NHS patient feedback,feedback-034,2,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-034.jpg,/patient-feedback-clean/feedback-card-034.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch6\NHS patient Thank you card 2.pdf,35,NHS patient feedback,feedback-036,1,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-035.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch6\NHS patient Thank you card 2.pdf,36,NHS patient feedback,feedback-036,2,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-036.jpg,/patient-feedback-clean/feedback-card-036.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch6\NHS patient Thank you card 2024.pdf,37,NHS patient feedback,feedback-037,1,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-037.jpg,/patient-feedback-clean/feedback-card-037.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch6\NHS patient Thank you card 2024.pdf,38,NHS patient feedback,feedback-037,2,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-038.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch6\NHS patient Thank you card 3.pdf,39,NHS patient feedback,feedback-040,1,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-039.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch6\NHS patient Thank you card 3.pdf,40,NHS patient feedback,feedback-040,2,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-040.jpg,/patient-feedback-clean/feedback-card-040.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch6\NHS patient xmas card 2024.pdf,41,NHS patient feedback,feedback-042,1,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-041.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch6\NHS patient xmas card 2024.pdf,42,NHS patient feedback,feedback-042,2,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-042.jpg,/patient-feedback-clean/feedback-card-042.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch6\PVT patient feedback 2024.pdf,43,Private patient feedback,feedback-043,1,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-043.jpg,/patient-feedback-clean/feedback-card-043.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch6\PVT patient feedback 2024.pdf,44,Private patient feedback,feedback-043,2,continuation,upright,none,patient feedback continuation,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-044.jpg,/patient-feedback-clean/feedback-card-044.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch6\Staff-Excellence-Award-nominations-2024---For-Pulse.pdf,45,Staff recognition feedback,feedback-045,1,staff-recognition,upright,none,staff recognition feedback,staff-recognition,yes,,no,pending,pending,Staff recognition feedback excluded from patient testimonials,/patient-feedback/feedback-card-045.jpg,,Retained in source archive for possible future staff recognition use.
fwpatientfeedbackbatch6\Staff-Excellence-Award-nominations-2024---For-Pulse.pdf,46,Staff recognition feedback,feedback-046,2,staff-recognition,upright,none,staff recognition feedback,staff-recognition,yes,,no,pending,pending,Staff recognition feedback excluded from patient testimonials,/patient-feedback/feedback-card-046.jpg,,Retained in source archive for possible future staff recognition use.
fwpatientfeedbackbatch6\Staff-Excellence-Award-nominations-2024---For-Pulse.pdf,47,Staff recognition feedback,feedback-047,3,staff-recognition,upright,none,staff recognition feedback,staff-recognition,yes,,no,pending,pending,Staff recognition feedback excluded from patient testimonials,/patient-feedback/feedback-card-047.jpg,,Retained in source archive for possible future staff recognition use.
fwpatientfeedbackbatch6\Staff-Excellence-Award-nominations-2024---For-Pulse.pdf,48,Staff recognition feedback,feedback-048,4,staff-recognition,upright,none,staff recognition feedback,staff-recognition,yes,,no,pending,pending,Staff recognition feedback excluded from patient testimonials,/patient-feedback/feedback-card-048.jpg,,Retained in source archive for possible future staff recognition use.
fwpatientfeedbackbatch6\Staff-Excellence-Award-nominations-2024---For-Pulse.pdf,49,Staff recognition feedback,feedback-049,5,staff-recognition,upright,none,staff recognition feedback,staff-recognition,yes,,no,pending,pending,Staff recognition feedback excluded from patient testimonials,/patient-feedback/feedback-card-049.jpg,,Retained in source archive for possible future staff recognition use.
fwpatientfeedbackbatch6\Staff-Excellence-Award-nominations-2024---For-Pulse.pdf,50,Staff recognition feedback,feedback-050,6,staff-recognition,upright,none,staff recognition feedback,staff-recognition,yes,,no,pending,pending,Staff recognition feedback excluded from patient testimonials,/patient-feedback/feedback-card-050.jpg,,Retained in source archive for possible future staff recognition use.
fwpatientfeedbackbatch6\Staff-Excellence-Award-nominations-2024---For-Pulse.pdf,51,Staff recognition feedback,feedback-051,7,staff-recognition,upright,none,staff recognition feedback,staff-recognition,yes,,no,pending,pending,Staff recognition feedback excluded from patient testimonials,/patient-feedback/feedback-card-051.jpg,,Retained in source archive for possible future staff recognition use.
fwpatientfeedbackbatch6\Staff-Excellence-Award-nominations-2024---For-Pulse.pdf,52,Staff recognition feedback,feedback-052,8,staff-recognition,upright,none,staff recognition feedback,staff-recognition,yes,,no,pending,pending,Staff recognition feedback excluded from patient testimonials,/patient-feedback/feedback-card-052.jpg,,Retained in source archive for possible future staff recognition use.
fwpatientfeedbackbatch6\Staff-Excellence-Award-nominations-2024---For-Pulse.pdf,53,Staff recognition feedback,feedback-053,9,staff-recognition,upright,none,staff recognition feedback,staff-recognition,yes,,no,pending,pending,Staff recognition feedback excluded from patient testimonials,/patient-feedback/feedback-card-053.jpg,,Retained in source archive for possible future staff recognition use.
fwpatientfeedbackbatch6\Staff-Excellence-Award-nominations-2024---For-Pulse.pdf,54,Staff recognition feedback,feedback-054,10,staff-recognition,upright,none,staff recognition feedback,staff-recognition,yes,,no,pending,pending,Staff recognition feedback excluded from patient testimonials,/patient-feedback/feedback-card-054.jpg,,Retained in source archive for possible future staff recognition use.
fwpatientfeedbackbatch6\Staff-Excellence-Award-nominations-2024---For-Pulse.pdf,55,Staff recognition feedback,feedback-055,11,staff-recognition,upright,none,staff recognition feedback,staff-recognition,yes,,no,pending,pending,Staff recognition feedback excluded from patient testimonials,/patient-feedback/feedback-card-055.jpg,,Retained in source archive for possible future staff recognition use.
fwpatientfeedbackbatch6\Staff-Excellence-Award-nominations-2024---For-Pulse.pdf,56,Staff recognition feedback,feedback-056,12,staff-recognition,upright,none,staff recognition feedback,staff-recognition,yes,,no,pending,pending,Staff recognition feedback excluded from patient testimonials,/patient-feedback/feedback-card-056.jpg,,Retained in source archive for possible future staff recognition use.
fwpatientfeedbackbatch6\Staff-Excellence-Award-nominations-2024---For-Pulse.pdf,57,Staff recognition feedback,feedback-057,13,staff-recognition,upright,none,staff recognition feedback,staff-recognition,yes,,no,pending,pending,Staff recognition feedback excluded from patient testimonials,/patient-feedback/feedback-card-057.jpg,,Retained in source archive for possible future staff recognition use.
fwpatientfeedbackbatch6\Staff-Excellence-Award-nominations-2024---For-Pulse.pdf,58,Staff recognition feedback,feedback-058,14,staff-recognition,upright,none,staff recognition feedback,staff-recognition,yes,,no,pending,pending,Staff recognition feedback excluded from patient testimonials,/patient-feedback/feedback-card-058.jpg,,Retained in source archive for possible future staff recognition use.
fwpatientfeedbackbatch6\Staff-Excellence-Award-nominations-2024---For-Pulse.pdf,59,Staff recognition feedback,feedback-059,15,staff-recognition,upright,none,staff recognition feedback,staff-recognition,yes,,no,pending,pending,Staff recognition feedback excluded from patient testimonials,/patient-feedback/feedback-card-059.jpg,,Retained in source archive for possible future staff recognition use.
fwpatientfeedbackbatch6\Staff-Excellence-Award-nominations-2024---For-Pulse.pdf,60,Staff recognition feedback,feedback-060,16,staff-recognition,upright,none,staff recognition feedback,staff-recognition,yes,,no,pending,pending,Staff recognition feedback excluded from patient testimonials,/patient-feedback/feedback-card-060.jpg,,Retained in source archive for possible future staff recognition use.
fwpatientfeedbackbatch6\Staff-Excellence-Award-nominations-2024---For-Pulse.pdf,61,Staff recognition feedback,feedback-061,17,staff-recognition,upright,none,staff recognition feedback,staff-recognition,yes,,no,pending,pending,Staff recognition feedback excluded from patient testimonials,/patient-feedback/feedback-card-061.jpg,,Retained in source archive for possible future staff recognition use.
fwpatientfeedbackbatch6\Staff-Excellence-Award-nominations-2024---For-Pulse.pdf,62,Staff recognition feedback,feedback-062,18,staff-recognition,upright,none,staff recognition feedback,staff-recognition,yes,,no,pending,pending,Staff recognition feedback excluded from patient testimonials,/patient-feedback/feedback-card-062.jpg,,Retained in source archive for possible future staff recognition use.
fwpatientfeedbackbatch6\Staff-Excellence-Award-nominations-2024---For-Pulse.pdf,63,Staff recognition feedback,feedback-063,19,staff-recognition,upright,none,staff recognition feedback,staff-recognition,yes,,no,pending,pending,Staff recognition feedback excluded from patient testimonials,/patient-feedback/feedback-card-063.jpg,,Retained in source archive for possible future staff recognition use.
fwpatientfeedbackbatch6\Staff-Excellence-Award-nominations-2024---For-Pulse.pdf,64,Staff recognition feedback,feedback-064,20,staff-recognition,upright,none,staff recognition feedback,staff-recognition,yes,,no,pending,pending,Staff recognition feedback excluded from patient testimonials,/patient-feedback/feedback-card-064.jpg,,Retained in source archive for possible future staff recognition use.
fwpatientfeedbackbatch6\Staff-Excellence-Award-nominations-2024---For-Pulse.pdf,65,Staff recognition feedback,feedback-065,21,staff-recognition,upright,none,staff recognition feedback,staff-recognition,yes,,no,pending,pending,Staff recognition feedback excluded from patient testimonials,/patient-feedback/feedback-card-065.jpg,,Retained in source archive for possible future staff recognition use.
fwpatientfeedbackbatch6\Staff-Excellence-Award-nominations-2024---For-Pulse.pdf,66,Staff recognition feedback,feedback-066,22,staff-recognition,upright,none,staff recognition feedback,staff-recognition,yes,,no,pending,pending,Staff recognition feedback excluded from patient testimonials,/patient-feedback/feedback-card-066.jpg,,Retained in source archive for possible future staff recognition use.
fwpatientfeedbackbatch6\Thank you note from nursing colleague 2024.pdf,67,Colleague and trainee feedback,feedback-067,1,staff-recognition,upright,none,colleague or trainee feedback,colleague-trainee,no,,no,pending,pending,Colleague/trainee feedback excluded from patient testimonials,/patient-feedback/feedback-card-067.jpg,,Non-patient recognition content retained in the source archive.
fwpatientfeedbackbatch7\FY1 Thank you card 1.pdf,68,Colleague and trainee feedback,feedback-068,1,staff-recognition,upright,none,colleague or trainee feedback,colleague-trainee,no,,no,pending,pending,Colleague/trainee feedback excluded from patient testimonials,/patient-feedback/feedback-card-068.jpg,,Non-patient recognition content retained in the source archive.
fwpatientfeedbackbatch7\FY1 Thank you card 1.pdf,69,Colleague and trainee feedback,feedback-069,2,staff-recognition,upright,none,colleague or trainee feedback,colleague-trainee,no,,no,pending,pending,Colleague/trainee feedback excluded from patient testimonials,/patient-feedback/feedback-card-069.jpg,,Non-patient recognition content retained in the source archive.
fwpatientfeedbackbatch7\FY1 thank you card.pdf,70,Colleague and trainee feedback,feedback-070,1,staff-recognition,upright,none,colleague or trainee feedback,colleague-trainee,no,,no,pending,pending,Colleague/trainee feedback excluded from patient testimonials,/patient-feedback/feedback-card-070.jpg,,Non-patient recognition content retained in the source archive.
fwpatientfeedbackbatch7\FY1 thank you card.pdf,71,Colleague and trainee feedback,feedback-071,2,staff-recognition,upright,none,colleague or trainee feedback,colleague-trainee,no,,no,pending,pending,Colleague/trainee feedback excluded from patient testimonials,/patient-feedback/feedback-card-071.jpg,,Non-patient recognition content retained in the source archive.
fwpatientfeedbackbatch7\FY2 Xmas and Thank you card.pdf,72,Colleague and trainee feedback,feedback-072,1,staff-recognition,upright,none,colleague or trainee feedback,colleague-trainee,no,,no,pending,pending,Colleague/trainee feedback excluded from patient testimonials,/patient-feedback/feedback-card-072.jpg,,Non-patient recognition content retained in the source archive.
fwpatientfeedbackbatch7\FY2 Xmas and Thank you card.pdf,73,Colleague and trainee feedback,feedback-073,2,staff-recognition,upright,none,colleague or trainee feedback,colleague-trainee,no,,no,pending,pending,Colleague/trainee feedback excluded from patient testimonials,/patient-feedback/feedback-card-073.jpg,,Non-patient recognition content retained in the source archive.
fwpatientfeedbackbatch7\NHS patient thank you and Xmas Card.pdf,74,NHS patient feedback,feedback-074,1,message,rotate-90-counterclockwise,rotate-90-counterclockwise,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-074.jpg,/patient-feedback-clean/feedback-card-074.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch7\NHS patient thank you and Xmas Card.pdf,75,NHS patient feedback,feedback-074,2,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-075.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch7\NHS patient Thank you card 1.pdf,76,NHS patient feedback,feedback-076,1,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-076.jpg,/patient-feedback-clean/feedback-card-076.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch7\NHS patient Thank you card 1.pdf,77,NHS patient feedback,feedback-076,2,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-077.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch7\NHS Patient Thank you card 2.pdf,78,NHS patient feedback,feedback-079,1,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-078.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch7\NHS Patient Thank you card 2.pdf,79,NHS patient feedback,feedback-079,2,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-079.jpg,/patient-feedback-clean/feedback-card-079.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch7\NHS Patient Thank you card 3.pdf,80,NHS patient feedback,feedback-080,1,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-080.jpg,/patient-feedback-clean/feedback-card-080.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch7\NHS Patient Thank you card 3.pdf,81,NHS patient feedback,feedback-080,2,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-081.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch7\NHS patient Thank you card 4.pdf,82,NHS patient feedback,feedback-008-duplicate,1,duplicate,upright,none,duplicate scan,patient,no,duplicate-of-feedback-card-009,no,pending,pending,Duplicate scan,/patient-feedback/feedback-card-082.jpg,,Visual duplicate of retained message page
fwpatientfeedbackbatch7\NHS patient Thank you card 4.pdf,83,NHS patient feedback,feedback-008-duplicate,2,duplicate,upright,none,duplicate scan,patient,no,duplicate-of-feedback-card-008,no,pending,pending,Duplicate scan,/patient-feedback/feedback-card-083.jpg,,Visual duplicate of retained message page
fwpatientfeedbackbatch7\NHS patient Thank you card 5.pdf,84,NHS patient feedback,feedback-084,1,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-084.jpg,/patient-feedback-clean/feedback-card-084.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch7\NHS patient Thank you card 5.pdf,85,NHS patient feedback,feedback-084,2,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-085.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch7\NHS patient Thank you card 6.pdf,86,NHS patient feedback,feedback-086,1,message,upright,none,patient feedback message,patient,no,,yes,pending,pending,,/patient-feedback/feedback-card-086.jpg,/patient-feedback-clean/feedback-card-086.jpg,Candidate only; dated publication consent has not been confirmed.
fwpatientfeedbackbatch7\NHS patient Thank you card 6.pdf,87,NHS patient feedback,feedback-086,2,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-087.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch7\NHS patient Thank you card 7.pdf,88,NHS patient feedback,feedback-036-duplicate,1,duplicate,upright,none,duplicate scan,patient,no,duplicate-of-feedback-card-036,no,pending,pending,Duplicate scan,/patient-feedback/feedback-card-088.jpg,,Visual duplicate of retained message page
fwpatientfeedbackbatch7\NHS patient Thank you card 7.pdf,89,NHS patient feedback,feedback-036-duplicate,2,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-089.jpg,,Physical card context preserved in manifest; message page is used where present.
fwpatientfeedbackbatch7\NHS patient thank you card 8.pdf,90,NHS patient feedback,feedback-040-duplicate,1,duplicate,upright,none,duplicate scan,patient,no,duplicate-of-feedback-card-040,no,pending,pending,Duplicate scan,/patient-feedback/feedback-card-090.jpg,,Visual duplicate of retained message page
fwpatientfeedbackbatch7\NHS patient thank you card 8.pdf,91,NHS patient feedback,feedback-040-duplicate,2,cover,upright,none,decorative/front page,patient,no,,no,pending,pending,Decorative/front page of multi-page feedback card,/patient-feedback/feedback-card-091.jpg,,Physical card context preserved in manifest; message page is used where present.
